"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
,,
15677,,230
15677,"$1 under $25,000",90
15677,"$25,000 under $50,000",50
15677,"$50,000 under $75,000",30
15677,"$75,000 under $100,000",20
15677,"$100,000 under $200,000",40
15677,"$200,000 or more",** 0
,,
15678,,310
15678,"$1 under $25,000",130
15678,"$25,000 under $50,000",90
15678,"$50,000 under $75,000",40
15678,"$75,000 under $100,000",20
15678,"$100,000 under $200,000",30
15678,"$200,000 or more",** 0
,,
15679,,"1,630"
15679,"$1 under $25,000",600
15679,"$25,000 under $50,000",380
15679,"$50,000 under $75,000",280
15679,"$75,000 under $100,000",170
15679,"$100,000 under $200,000",170
15679,"$200,000 or more",30
,,
15681,,"2,390"
15681,"$1 under $25,000",900
15681,"$25,000 under $50,000",580
15681,"$50,000 under $75,000",400
15681,"$75,000 under $100,000",240
15681,"$100,000 under $200,000",240
15681,"$200,000 or more",30
,,
15683,,"3,960"
15683,"$1 under $25,000",1520
15683,"$25,000 under $50,000",970
15683,"$50,000 under $75,000",620
15683,"$75,000 under $100,000",400
15683,"$100,000 under $200,000",390
15683,"$200,000 or more",60
,,
15684,,370
15684,"$1 under $25,000",140
15684,"$25,000 under $50,000",100
15684,"$50,000 under $75,000",80
15684,"$75,000 under $100,000",50
15684,"$100,000 under $200,000",** 0
15684,"$200,000 or more",** 0
,,
15686,,440
15686,"$1 under $25,000",140
15686,"$25,000 under $50,000",110
15686,"$50,000 under $75,000",70
15686,"$75,000 under $100,000",50
15686,"$100,000 under $200,000",70
15686,"$200,000 or more",** 0
,,
15687,,660
15687,"$1 under $25,000",240
15687,"$25,000 under $50,000",160
15687,"$50,000 under $75,000",110
15687,"$75,000 under $100,000",70
15687,"$100,000 under $200,000",80
15687,"$200,000 or more",** 0
,,
15688,,360
15688,"$1 under $25,000",160
15688,"$25,000 under $50,000",90
15688,"$50,000 under $75,000",50
15688,"$75,000 under $100,000",30
15688,"$100,000 under $200,000",30
15688,"$200,000 or more",0
,,
15690,,"4,200"
15690,"$1 under $25,000",1790
15690,"$25,000 under $50,000",1170
15690,"$50,000 under $75,000",600
15690,"$75,000 under $100,000",350
15690,"$100,000 under $200,000",270
15690,"$200,000 or more",20
,,
15692,,510
15692,"$1 under $25,000",180
15692,"$25,000 under $50,000",140
15692,"$50,000 under $75,000",90
15692,"$75,000 under $100,000",60
15692,"$100,000 under $200,000",40
15692,"$200,000 or more",** 0
,,
15697,,"1,590"
15697,"$1 under $25,000",600
15697,"$25,000 under $50,000",470
15697,"$50,000 under $75,000",260
15697,"$75,000 under $100,000",150
15697,"$100,000 under $200,000",110
15697,"$200,000 or more",** 0
,,
15698,,410
15698,"$1 under $25,000",190
15698,"$25,000 under $50,000",110
15698,"$50,000 under $75,000",60
15698,"$75,000 under $100,000",50
15698,"$100,000 under $200,000",** 0
15698,"$200,000 or more",** 0
,,
15701,,"12,110"
15701,"$1 under $25,000",4720
15701,"$25,000 under $50,000",2480
15701,"$50,000 under $75,000",1660
15701,"$75,000 under $100,000",1100
15701,"$100,000 under $200,000",1710
15701,"$200,000 or more",440
,,
15711,,160
15711,"$1 under $25,000",60
15711,"$25,000 under $50,000",50
15711,"$50,000 under $75,000",50
15711,"$75,000 under $100,000",** 0
15711,"$100,000 under $200,000",** 0
15711,"$200,000 or more",0
,,
15713,,110
15713,"$1 under $25,000",50
15713,"$25,000 under $50,000",30
15713,"$50,000 under $75,000",30
15713,"$75,000 under $100,000",** 0
15713,"$100,000 under $200,000",** 0
15713,"$200,000 or more",** 0
,,
15714,,"2,770"
15714,"$1 under $25,000",1180
15714,"$25,000 under $50,000",710
15714,"$50,000 under $75,000",420
15714,"$75,000 under $100,000",220
15714,"$100,000 under $200,000",210
15714,"$200,000 or more",30
,,
15717,,"4,720"
15717,"$1 under $25,000",1840
15717,"$25,000 under $50,000",1140
15717,"$50,000 under $75,000",720
15717,"$75,000 under $100,000",470
15717,"$100,000 under $200,000",470
15717,"$200,000 or more",80
,,
15722,,"1,100"
15722,"$1 under $25,000",450
15722,"$25,000 under $50,000",260
15722,"$50,000 under $75,000",180
15722,"$75,000 under $100,000",110
15722,"$100,000 under $200,000",100
15722,"$200,000 or more",** 0
,,
15724,,"1,000"
15724,"$1 under $25,000",420
15724,"$25,000 under $50,000",250
15724,"$50,000 under $75,000",150
15724,"$75,000 under $100,000",100
15724,"$100,000 under $200,000",80
15724,"$200,000 or more",** 0
,,
15725,,630
15725,"$1 under $25,000",210
15725,"$25,000 under $50,000",140
15725,"$50,000 under $75,000",110
15725,"$75,000 under $100,000",80
15725,"$100,000 under $200,000",90
15725,"$200,000 or more",** 0
,,
15728,,"1,610"
15728,"$1 under $25,000",710
15728,"$25,000 under $50,000",400
15728,"$50,000 under $75,000",240
15728,"$75,000 under $100,000",130
15728,"$100,000 under $200,000",130
15728,"$200,000 or more",** 0
,,
15729,,600
15729,"$1 under $25,000",260
15729,"$25,000 under $50,000",140
15729,"$50,000 under $75,000",100
15729,"$75,000 under $100,000",60
15729,"$100,000 under $200,000",40
15729,"$200,000 or more",** 0
,,
15732,,770
15732,"$1 under $25,000",300
15732,"$25,000 under $50,000",190
15732,"$50,000 under $75,000",130
15732,"$75,000 under $100,000",80
15732,"$100,000 under $200,000",70
15732,"$200,000 or more",** 0
,,
15742,,390
15742,"$1 under $25,000",170
15742,"$25,000 under $50,000",90
15742,"$50,000 under $75,000",70
15742,"$75,000 under $100,000",30
15742,"$100,000 under $200,000",30
15742,"$200,000 or more",** 0
,,
15747,,860
15747,"$1 under $25,000",320
15747,"$25,000 under $50,000",170
15747,"$50,000 under $75,000",130
15747,"$75,000 under $100,000",100
15747,"$100,000 under $200,000",110
15747,"$200,000 or more",30
,,
15748,,"3,380"
15748,"$1 under $25,000",1340
15748,"$25,000 under $50,000",810
15748,"$50,000 under $75,000",520
15748,"$75,000 under $100,000",360
15748,"$100,000 under $200,000",330
15748,"$200,000 or more",20
,,
15753,,200
15753,"$1 under $25,000",100
15753,"$25,000 under $50,000",50
15753,"$50,000 under $75,000",30
15753,"$75,000 under $100,000",20
15753,"$100,000 under $200,000",** 0
15753,"$200,000 or more",** 0
,,
15757,,730
15757,"$1 under $25,000",300
15757,"$25,000 under $50,000",190
15757,"$50,000 under $75,000",120
15757,"$75,000 under $100,000",60
15757,"$100,000 under $200,000",60
15757,"$200,000 or more",** 0
,,
15759,,"1,180"
15759,"$1 under $25,000",470
15759,"$25,000 under $50,000",280
15759,"$50,000 under $75,000",180
15759,"$75,000 under $100,000",110
15759,"$100,000 under $200,000",140
15759,"$200,000 or more",** 0
,,
15762,,450
15762,"$1 under $25,000",150
15762,"$25,000 under $50,000",90
15762,"$50,000 under $75,000",80
15762,"$75,000 under $100,000",60
15762,"$100,000 under $200,000",70
15762,"$200,000 or more",** 0
,,
15765,,780
15765,"$1 under $25,000",260
15765,"$25,000 under $50,000",170
15765,"$50,000 under $75,000",120
15765,"$75,000 under $100,000",100
15765,"$100,000 under $200,000",130
15765,"$200,000 or more",** 0
,,
15767,,"6,390"
15767,"$1 under $25,000",2680
15767,"$25,000 under $50,000",1580
15767,"$50,000 under $75,000",930
15767,"$75,000 under $100,000",580
15767,"$100,000 under $200,000",530
15767,"$200,000 or more",90
,,
15771,,400
15771,"$1 under $25,000",160
15771,"$25,000 under $50,000",110
15771,"$50,000 under $75,000",60
15771,"$75,000 under $100,000",30
15771,"$100,000 under $200,000",40
15771,"$200,000 or more",** 0
,,
15772,,710
15772,"$1 under $25,000",310
15772,"$25,000 under $50,000",180
15772,"$50,000 under $75,000",120
15772,"$75,000 under $100,000",60
15772,"$100,000 under $200,000",40
15772,"$200,000 or more",** 0
,,
15773,,180
15773,"$1 under $25,000",60
15773,"$25,000 under $50,000",50
15773,"$50,000 under $75,000",40
15773,"$75,000 under $100,000",30
15773,"$100,000 under $200,000",** 0
15773,"$200,000 or more",** 0
,,
15774,,"1,480"
15774,"$1 under $25,000",520
15774,"$25,000 under $50,000",370
15774,"$50,000 under $75,000",240
15774,"$75,000 under $100,000",160
15774,"$100,000 under $200,000",170
15774,"$200,000 or more",20
,,
15801,,"9,460"
15801,"$1 under $25,000",3950
15801,"$25,000 under $50,000",2080
15801,"$50,000 under $75,000",1380
15801,"$75,000 under $100,000",840
15801,"$100,000 under $200,000",930
15801,"$200,000 or more",280
,,
15823,,750
15823,"$1 under $25,000",270
15823,"$25,000 under $50,000",210
15823,"$50,000 under $75,000",130
15823,"$75,000 under $100,000",80
15823,"$100,000 under $200,000",60
15823,"$200,000 or more",** 0
,,
15824,,"2,620"
15824,"$1 under $25,000",1060
15824,"$25,000 under $50,000",650
15824,"$50,000 under $75,000",420
15824,"$75,000 under $100,000",260
15824,"$100,000 under $200,000",190
15824,"$200,000 or more",40
,,
15825,,"4,530"
15825,"$1 under $25,000",1790
15825,"$25,000 under $50,000",1170
15825,"$50,000 under $75,000",730
15825,"$75,000 under $100,000",400
15825,"$100,000 under $200,000",360
15825,"$200,000 or more",80
,,
15827,,150
15827,"$1 under $25,000",70
15827,"$25,000 under $50,000",40
15827,"$50,000 under $75,000",40
15827,"$75,000 under $100,000",** 0
15827,"$100,000 under $200,000",** 0
15827,"$200,000 or more",0
,,
15828,,150
15828,"$1 under $25,000",70
15828,"$25,000 under $50,000",60
15828,"$50,000 under $75,000",** 0
15828,"$75,000 under $100,000",20
15828,"$100,000 under $200,000",** 0
15828,"$200,000 or more",** 0
,,
15829,,610
15829,"$1 under $25,000",240
15829,"$25,000 under $50,000",170
15829,"$50,000 under $75,000",100
15829,"$75,000 under $100,000",50
15829,"$100,000 under $200,000",50
15829,"$200,000 or more",** 0
,,
15832,,140
15832,"$1 under $25,000",60
15832,"$25,000 under $50,000",60
15832,"$50,000 under $75,000",** 0
15832,"$75,000 under $100,000",20
15832,"$100,000 under $200,000",** 0
15832,"$200,000 or more",** 0
,,
15834,,"2,190"
15834,"$1 under $25,000",950
15834,"$25,000 under $50,000",570
15834,"$50,000 under $75,000",340
15834,"$75,000 under $100,000",170
15834,"$100,000 under $200,000",140
15834,"$200,000 or more",20
,,
15840,,970
15840,"$1 under $25,000",390
15840,"$25,000 under $50,000",270
15840,"$50,000 under $75,000",150
15840,"$75,000 under $100,000",100
15840,"$100,000 under $200,000",60
15840,"$200,000 or more",** 0
,,
15845,,"1,610"
15845,"$1 under $25,000",650
15845,"$25,000 under $50,000",430
15845,"$50,000 under $75,000",250
15845,"$75,000 under $100,000",160
15845,"$100,000 under $200,000",120
15845,"$200,000 or more",** 0
,,
15846,,"1,710"
15846,"$1 under $25,000",640
15846,"$25,000 under $50,000",440
15846,"$50,000 under $75,000",270
15846,"$75,000 under $100,000",210
15846,"$100,000 under $200,000",120
15846,"$200,000 or more",30
,,
15848,,460
15848,"$1 under $25,000",180
15848,"$25,000 under $50,000",130
15848,"$50,000 under $75,000",70
15848,"$75,000 under $100,000",40
15848,"$100,000 under $200,000",40
15848,"$200,000 or more",** 0
,,
15849,,640
15849,"$1 under $25,000",280
15849,"$25,000 under $50,000",180
15849,"$50,000 under $75,000",80
15849,"$75,000 under $100,000",60
15849,"$100,000 under $200,000",40
15849,"$200,000 or more",** 0
,,
15851,,"3,120"
15851,"$1 under $25,000",1360
15851,"$25,000 under $50,000",810
15851,"$50,000 under $75,000",500
15851,"$75,000 under $100,000",250
15851,"$100,000 under $200,000",180
15851,"$200,000 or more",20
,,
15853,,"3,330"
15853,"$1 under $25,000",1320
15853,"$25,000 under $50,000",880
15853,"$50,000 under $75,000",540
15853,"$75,000 under $100,000",300
15853,"$100,000 under $200,000",240
15853,"$200,000 or more",50
,,
15856,,460
15856,"$1 under $25,000",180
15856,"$25,000 under $50,000",110
15856,"$50,000 under $75,000",80
15856,"$75,000 under $100,000",40
15856,"$100,000 under $200,000",50
15856,"$200,000 or more",** 0
,,
15857,,"6,970"
15857,"$1 under $25,000",2620
15857,"$25,000 under $50,000",1750
15857,"$50,000 under $75,000",1100
15857,"$75,000 under $100,000",710
15857,"$100,000 under $200,000",630
15857,"$200,000 or more",160
,,
15860,,540
15860,"$1 under $25,000",190
15860,"$25,000 under $50,000",160
15860,"$50,000 under $75,000",100
15860,"$75,000 under $100,000",50
15860,"$100,000 under $200,000",40
15860,"$200,000 or more",** 0
,,
15864,,900
15864,"$1 under $25,000",340
15864,"$25,000 under $50,000",240
15864,"$50,000 under $75,000",150
15864,"$75,000 under $100,000",100
15864,"$100,000 under $200,000",70
15864,"$200,000 or more",** 0
,,
15865,,580
15865,"$1 under $25,000",250
15865,"$25,000 under $50,000",160
15865,"$50,000 under $75,000",80
15865,"$75,000 under $100,000",50
15865,"$100,000 under $200,000",40
15865,"$200,000 or more",** 0
,,
15868,,750
15868,"$1 under $25,000",310
15868,"$25,000 under $50,000",170
15868,"$50,000 under $75,000",120
15868,"$75,000 under $100,000",80
15868,"$100,000 under $200,000",70
15868,"$200,000 or more",** 0
,,
15870,,640
15870,"$1 under $25,000",220
15870,"$25,000 under $50,000",150
15870,"$50,000 under $75,000",120
15870,"$75,000 under $100,000",80
15870,"$100,000 under $200,000",70
15870,"$200,000 or more",** 0
,,
15901,,"1,350"
15901,"$1 under $25,000",920
15901,"$25,000 under $50,000",280
15901,"$50,000 under $75,000",90
15901,"$75,000 under $100,000",40
15901,"$100,000 under $200,000",20
15901,"$200,000 or more",** 0
,,
15902,,"5,140"
15902,"$1 under $25,000",2820
15902,"$25,000 under $50,000",1260
15902,"$50,000 under $75,000",600
15902,"$75,000 under $100,000",270
15902,"$100,000 under $200,000",190
15902,"$200,000 or more",** 0
,,
15904,,"7,480"
15904,"$1 under $25,000",2760
15904,"$25,000 under $50,000",1570
15904,"$50,000 under $75,000",1170
15904,"$75,000 under $100,000",810
15904,"$100,000 under $200,000",940
15904,"$200,000 or more",230
,,
15905,,"10,140"
15905,"$1 under $25,000",3920
15905,"$25,000 under $50,000",2210
15905,"$50,000 under $75,000",1490
15905,"$75,000 under $100,000",980
15905,"$100,000 under $200,000",1180
15905,"$200,000 or more",360
,,
15906,,"4,680"
15906,"$1 under $25,000",2500
15906,"$25,000 under $50,000",1130
15906,"$50,000 under $75,000",550
15906,"$75,000 under $100,000",290
15906,"$100,000 under $200,000",210
15906,"$200,000 or more",** 0
,,
15909,,"2,540"
15909,"$1 under $25,000",1050
15909,"$25,000 under $50,000",700
15909,"$50,000 under $75,000",380
15909,"$75,000 under $100,000",230
15909,"$100,000 under $200,000",180
15909,"$200,000 or more",** 0
,,
15920,,470
15920,"$1 under $25,000",190
15920,"$25,000 under $50,000",100
15920,"$50,000 under $75,000",70
15920,"$75,000 under $100,000",50
15920,"$100,000 under $200,000",60
15920,"$200,000 or more",** 0
,,
15923,,760
15923,"$1 under $25,000",350
15923,"$25,000 under $50,000",180
15923,"$50,000 under $75,000",100
15923,"$75,000 under $100,000",60
15923,"$100,000 under $200,000",70
15923,"$200,000 or more",** 0
,,
15924,,480
15924,"$1 under $25,000",200
15924,"$25,000 under $50,000",120
15924,"$50,000 under $75,000",80
15924,"$75,000 under $100,000",40
15924,"$100,000 under $200,000",40
15924,"$200,000 or more",** 0
,,
15926,,"1,220"
15926,"$1 under $25,000",470
15926,"$25,000 under $50,000",320
15926,"$50,000 under $75,000",190
15926,"$75,000 under $100,000",120
15926,"$100,000 under $200,000",100
15926,"$200,000 or more",20
,,
15927,,570
15927,"$1 under $25,000",250
15927,"$25,000 under $50,000",140
15927,"$50,000 under $75,000",90
15927,"$75,000 under $100,000",60
15927,"$100,000 under $200,000",30
15927,"$200,000 or more",** 0
,,
15928,,990
15928,"$1 under $25,000",330
15928,"$25,000 under $50,000",200
15928,"$50,000 under $75,000",170
15928,"$75,000 under $100,000",130
15928,"$100,000 under $200,000",140
15928,"$200,000 or more",20
,,
15931,,"4,270"
15931,"$1 under $25,000",1600
15931,"$25,000 under $50,000",930
15931,"$50,000 under $75,000",620
15931,"$75,000 under $100,000",500
15931,"$100,000 under $200,000",510
15931,"$200,000 or more",110
,,
15935,,"1,260"
15935,"$1 under $25,000",480
15935,"$25,000 under $50,000",310
15935,"$50,000 under $75,000",210
15935,"$75,000 under $100,000",120
15935,"$100,000 under $200,000",140
15935,"$200,000 or more",** 0
,,
15936,,700
15936,"$1 under $25,000",290
15936,"$25,000 under $50,000",180
15936,"$50,000 under $75,000",120
15936,"$75,000 under $100,000",50
15936,"$100,000 under $200,000",60
15936,"$200,000 or more",** 0
,,
15938,,"1,110"
15938,"$1 under $25,000",410
15938,"$25,000 under $50,000",260
15938,"$50,000 under $75,000",190
15938,"$75,000 under $100,000",130
15938,"$100,000 under $200,000",120
15938,"$200,000 or more",** 0
,,
15940,,810
15940,"$1 under $25,000",260
15940,"$25,000 under $50,000",160
15940,"$50,000 under $75,000",150
15940,"$75,000 under $100,000",110
15940,"$100,000 under $200,000",130
15940,"$200,000 or more",** 0
,,
15942,,"1,020"
15942,"$1 under $25,000",380
15942,"$25,000 under $50,000",240
15942,"$50,000 under $75,000",160
15942,"$75,000 under $100,000",120
15942,"$100,000 under $200,000",120
15942,"$200,000 or more",** 0
,,
15943,,"1,680"
15943,"$1 under $25,000",670
15943,"$25,000 under $50,000",470
15943,"$50,000 under $75,000",250
15943,"$75,000 under $100,000",160
15943,"$100,000 under $200,000",130
15943,"$200,000 or more",** 0
,,
15944,,"1,460"
15944,"$1 under $25,000",560
15944,"$25,000 under $50,000",340
15944,"$50,000 under $75,000",260
15944,"$75,000 under $100,000",140
15944,"$100,000 under $200,000",160
15944,"$200,000 or more",** 0
,,
15945,,110
15945,"$1 under $25,000",50
15945,"$25,000 under $50,000",30
15945,"$50,000 under $75,000",30
15945,"$75,000 under $100,000",** 0
15945,"$100,000 under $200,000",** 0
15945,"$200,000 or more",0
,,
15946,,"3,230"
15946,"$1 under $25,000",1310
15946,"$25,000 under $50,000",830
15946,"$50,000 under $75,000",460
15946,"$75,000 under $100,000",310
15946,"$100,000 under $200,000",290
15946,"$200,000 or more",30
,,
15949,,320
15949,"$1 under $25,000",140
15949,"$25,000 under $50,000",90
15949,"$50,000 under $75,000",40
15949,"$75,000 under $100,000",30
15949,"$100,000 under $200,000",20
15949,"$200,000 or more",0
,,
15952,,660
15952,"$1 under $25,000",280
15952,"$25,000 under $50,000",140
15952,"$50,000 under $75,000",80
15952,"$75,000 under $100,000",80
15952,"$100,000 under $200,000",80
15952,"$200,000 or more",** 0
,,
15954,,970
15954,"$1 under $25,000",410
15954,"$25,000 under $50,000",220
15954,"$50,000 under $75,000",150
15954,"$75,000 under $100,000",100
15954,"$100,000 under $200,000",90
15954,"$200,000 or more",** 0
,,
15955,,940
15955,"$1 under $25,000",350
15955,"$25,000 under $50,000",220
15955,"$50,000 under $75,000",150
15955,"$75,000 under $100,000",100
15955,"$100,000 under $200,000",120
15955,"$200,000 or more",** 0
,,
15956,,"1,310"
15956,"$1 under $25,000",570
15956,"$25,000 under $50,000",330
15956,"$50,000 under $75,000",210
15956,"$75,000 under $100,000",120
15956,"$100,000 under $200,000",80
15956,"$200,000 or more",** 0
,,
15957,,230
15957,"$1 under $25,000",90
15957,"$25,000 under $50,000",60
15957,"$50,000 under $75,000",40
15957,"$75,000 under $100,000",40
15957,"$100,000 under $200,000",** 0
15957,"$200,000 or more",** 0
,,
15958,,"1,050"
15958,"$1 under $25,000",370
15958,"$25,000 under $50,000",240
15958,"$50,000 under $75,000",160
15958,"$75,000 under $100,000",120
15958,"$100,000 under $200,000",160
15958,"$200,000 or more",** 0
,,
15961,,440
15961,"$1 under $25,000",190
15961,"$25,000 under $50,000",120
15961,"$50,000 under $75,000",70
15961,"$75,000 under $100,000",30
15961,"$100,000 under $200,000",30
15961,"$200,000 or more",** 0
,,
15963,,"5,240"
15963,"$1 under $25,000",2210
15963,"$25,000 under $50,000",1260
15963,"$50,000 under $75,000",750
15963,"$75,000 under $100,000",470
15963,"$100,000 under $200,000",470
15963,"$200,000 or more",80
,,
16001,,"20,070"
16001,"$1 under $25,000",7830
16001,"$25,000 under $50,000",4820
16001,"$50,000 under $75,000",2950
16001,"$75,000 under $100,000",1900
16001,"$100,000 under $200,000",2210
16001,"$200,000 or more",360
,,
16002,,"7,870"
16002,"$1 under $25,000",2670
16002,"$25,000 under $50,000",1700
16002,"$50,000 under $75,000",1160
16002,"$75,000 under $100,000",940
16002,"$100,000 under $200,000",1140
16002,"$200,000 or more",260
,,
16020,,590
16020,"$1 under $25,000",200
16020,"$25,000 under $50,000",160
16020,"$50,000 under $75,000",100
16020,"$75,000 under $100,000",70
16020,"$100,000 under $200,000",60
16020,"$200,000 or more",** 0
,,
16023,,"2,230"
16023,"$1 under $25,000",790
16023,"$25,000 under $50,000",520
16023,"$50,000 under $75,000",360
16023,"$75,000 under $100,000",230
16023,"$100,000 under $200,000",290
16023,"$200,000 or more",40
,,
16025,,"2,630"
16025,"$1 under $25,000",920
16025,"$25,000 under $50,000",570
16025,"$50,000 under $75,000",410
16025,"$75,000 under $100,000",320
16025,"$100,000 under $200,000",380
16025,"$200,000 or more",30
,,
16028,,840
16028,"$1 under $25,000",300
16028,"$25,000 under $50,000",230
16028,"$50,000 under $75,000",130
16028,"$75,000 under $100,000",80
16028,"$100,000 under $200,000",100
16028,"$200,000 or more",** 0
,,
16033,,"3,190"
16033,"$1 under $25,000",1080
16033,"$25,000 under $50,000",740
16033,"$50,000 under $75,000",430
16033,"$75,000 under $100,000",320
16033,"$100,000 under $200,000",510
16033,"$200,000 or more",110
,,
16034,,910
16034,"$1 under $25,000",290
16034,"$25,000 under $50,000",230
16034,"$50,000 under $75,000",150
16034,"$75,000 under $100,000",110
16034,"$100,000 under $200,000",130
16034,"$200,000 or more",** 0
,,
16037,,"2,380"
16037,"$1 under $25,000",730
16037,"$25,000 under $50,000",460
16037,"$50,000 under $75,000",350
16037,"$75,000 under $100,000",280
16037,"$100,000 under $200,000",410
16037,"$200,000 or more",150
,,
16038,,"1,570"
16038,"$1 under $25,000",600
16038,"$25,000 under $50,000",410
16038,"$50,000 under $75,000",260
16038,"$75,000 under $100,000",150
16038,"$100,000 under $200,000",150
16038,"$200,000 or more",** 0
,,
16040,,440
16040,"$1 under $25,000",150
16040,"$25,000 under $50,000",120
16040,"$50,000 under $75,000",70
16040,"$75,000 under $100,000",50
16040,"$100,000 under $200,000",50
16040,"$200,000 or more",** 0
,,
16041,,860
16041,"$1 under $25,000",300
16041,"$25,000 under $50,000",220
16041,"$50,000 under $75,000",130
16041,"$75,000 under $100,000",90
16041,"$100,000 under $200,000",120
16041,"$200,000 or more",** 0
,,
16045,,590
16045,"$1 under $25,000",300
16045,"$25,000 under $50,000",160
16045,"$50,000 under $75,000",60
16045,"$75,000 under $100,000",50
16045,"$100,000 under $200,000",20
16045,"$200,000 or more",** 0
,,
16046,,"7,860"
16046,"$1 under $25,000",2010
16046,"$25,000 under $50,000",1020
16046,"$50,000 under $75,000",870
16046,"$75,000 under $100,000",780
16046,"$100,000 under $200,000",1890
16046,"$200,000 or more",1290
,,
16049,,"1,450"
16049,"$1 under $25,000",540
16049,"$25,000 under $50,000",370
16049,"$50,000 under $75,000",240
16049,"$75,000 under $100,000",150
16049,"$100,000 under $200,000",150
16049,"$200,000 or more",** 0
,,
16050,,680
16050,"$1 under $25,000",250
16050,"$25,000 under $50,000",180
16050,"$50,000 under $75,000",100
16050,"$75,000 under $100,000",70
16050,"$100,000 under $200,000",80
16050,"$200,000 or more",** 0
,,
16051,,"1,520"
16051,"$1 under $25,000",550
16051,"$25,000 under $50,000",380
16051,"$50,000 under $75,000",240
16051,"$75,000 under $100,000",140
16051,"$100,000 under $200,000",180
16051,"$200,000 or more",30
,,
16052,,"1,240"
16052,"$1 under $25,000",420
16052,"$25,000 under $50,000",290
16052,"$50,000 under $75,000",230
16052,"$75,000 under $100,000",120
16052,"$100,000 under $200,000",160
16052,"$200,000 or more",20
,,
16053,,"2,180"
16053,"$1 under $25,000",680
16053,"$25,000 under $50,000",460
16053,"$50,000 under $75,000",350
16053,"$75,000 under $100,000",260
16053,"$100,000 under $200,000",350
16053,"$200,000 or more",80
,,
16055,,"4,180"
16055,"$1 under $25,000",1240
16055,"$25,000 under $50,000",860
16055,"$50,000 under $75,000",600
16055,"$75,000 under $100,000",510
16055,"$100,000 under $200,000",800
16055,"$200,000 or more",170
,,
16056,,"2,570"
16056,"$1 under $25,000",920
16056,"$25,000 under $50,000",600
16056,"$50,000 under $75,000",330
16056,"$75,000 under $100,000",270
16056,"$100,000 under $200,000",360
16056,"$200,000 or more",90
,,
16057,,"4,920"
16057,"$1 under $25,000",1850
16057,"$25,000 under $50,000",1120
16057,"$50,000 under $75,000",730
16057,"$75,000 under $100,000",490
16057,"$100,000 under $200,000",620
16057,"$200,000 or more",110
,,
16059,,"4,440"
16059,"$1 under $25,000",1390
16059,"$25,000 under $50,000",830
16059,"$50,000 under $75,000",570
16059,"$75,000 under $100,000",500
16059,"$100,000 under $200,000",890
16059,"$200,000 or more",260
,,
16061,,"1,310"
16061,"$1 under $25,000",450
16061,"$25,000 under $50,000",320
16061,"$50,000 under $75,000",210
16061,"$75,000 under $100,000",150
16061,"$100,000 under $200,000",180
16061,"$200,000 or more",** 0
,,
16063,,"3,740"
16063,"$1 under $25,000",1220
16063,"$25,000 under $50,000",840
16063,"$50,000 under $75,000",570
16063,"$75,000 under $100,000",390
16063,"$100,000 under $200,000",570
16063,"$200,000 or more",150
,,
16066,,"15,160"
16066,"$1 under $25,000",4230
16066,"$25,000 under $50,000",2190
16066,"$50,000 under $75,000",1770
16066,"$75,000 under $100,000",1650
16066,"$100,000 under $200,000",3730
16066,"$200,000 or more",1590
,,
16101,,"14,830"
16101,"$1 under $25,000",6810
16101,"$25,000 under $50,000",3630
16101,"$50,000 under $75,000",1980
16101,"$75,000 under $100,000",1160
16101,"$100,000 under $200,000",1120
16101,"$200,000 or more",130
,,
16102,,"2,540"
16102,"$1 under $25,000",1090
16102,"$25,000 under $50,000",580
16102,"$50,000 under $75,000",390
16102,"$75,000 under $100,000",220
16102,"$100,000 under $200,000",220
16102,"$200,000 or more",40
,,
16105,,"7,680"
16105,"$1 under $25,000",2610
16105,"$25,000 under $50,000",1640
16105,"$50,000 under $75,000",1200
16105,"$75,000 under $100,000",820
16105,"$100,000 under $200,000",1110
16105,"$200,000 or more",300
,,
16110,,170
16110,"$1 under $25,000",60
16110,"$25,000 under $50,000",50
16110,"$50,000 under $75,000",30
16110,"$75,000 under $100,000",30
16110,"$100,000 under $200,000",** 0
16110,"$200,000 or more",** 0
,,
16111,,460
16111,"$1 under $25,000",210
16111,"$25,000 under $50,000",130
16111,"$50,000 under $75,000",70
16111,"$75,000 under $100,000",30
16111,"$100,000 under $200,000",20
16111,"$200,000 or more",** 0
,,
16112,,750
16112,"$1 under $25,000",310
16112,"$25,000 under $50,000",210
16112,"$50,000 under $75,000",120
16112,"$75,000 under $100,000",60
16112,"$100,000 under $200,000",50
16112,"$200,000 or more",** 0
,,
16114,,300
16114,"$1 under $25,000",110
16114,"$25,000 under $50,000",80
16114,"$50,000 under $75,000",50
16114,"$75,000 under $100,000",60
16114,"$100,000 under $200,000",** 0
16114,"$200,000 or more",** 0
,,
16115,,"1,600"
16115,"$1 under $25,000",590
16115,"$25,000 under $50,000",400
16115,"$50,000 under $75,000",240
16115,"$75,000 under $100,000",150
16115,"$100,000 under $200,000",190
16115,"$200,000 or more",30
,,
16116,,"1,280"
16116,"$1 under $25,000",470
16116,"$25,000 under $50,000",320
16116,"$50,000 under $75,000",190
16116,"$75,000 under $100,000",140
16116,"$100,000 under $200,000",140
16116,"$200,000 or more",20
,,
16117,,"8,410"
16117,"$1 under $25,000",3310
16117,"$25,000 under $50,000",2120
16117,"$50,000 under $75,000",1370
16117,"$75,000 under $100,000",790
